time_iso,time_unix,electric_powerDemand,gnss_altitude,gnss_course,gnss_latitude,gnss_longitude,itcs_busRoute,itcs_numberOfPassengers,itcs_stopName,odometry_articulationAngle,odometry_steeringAngle,odometry_vehicleSpeed,odometry_wheelSpeed_fl,odometry_wheelSpeed_fr,odometry_wheelSpeed_ml,odometry_wheelSpeed_mr,odometry_wheelSpeed_rl,odometry_wheelSpeed_rr,status_doorIsOpen,status_gridIsAvailable,status_haltBrakeIsActive,status_parkBrakeIsActive,temperature_ambient,traction_brakePressure,traction_tractionForce
"2021-06-10T04:14:36Z",1623298476,3895.391,NaN,NaN,NaN,NaN,"-",NaN,"-",-0.02618,-0,0,0,0,0,0,0,0,0,0,1,0,291.15,240833.3,10.7676
"2021-06-10T04:14:37Z",1623298477,7957.538,413.9844,3.377212,0.8271095,0.1481233,"83",13,"Zürich, Bristenstrasse",-0.02618,-0,0.01151722,0,0,0,0,0,0,0,0,1,0,291.15,199975.5,14608.66
"2021-06-10T04:14:38Z",1623298478,18184.13,414.3674,3.377212,0.8271095,0.1481234,"-",NaN,"-",-0.02618,0.03620271,0.4172146,0,0,0,0,0,0,0,0,0,0,291.15,0,18061.93
"2021-06-10T04:14:39Z",1623298479,33499.03,414.1229,3.377212,0.8271094,0.1481234,"-",NaN,"-",-0.02618,0.06981333,1.07596,1.048788,1.048788,1.048788,1.066149,1.048788,1.051654,0,0,0,0,291.15,0,19299.39
"2021-06-10T04:14:40Z",1623298480,49551.08,414.1,3.427507,0.8271093,0.1481233,"-",NaN,"-",-0.02618,0.09731556,1.840944,1.815058,1.84978,1.832419,1.852411,1.832419,1.832419,0,0,0,0,291.15,0,20594.82
"2021-06-10T04:14:41Z",1623298481,68561.51,413.8224,3.426472,0.827109,0.1481234,"-",NaN,"-",-0.05236,0.2034511,2.690754,2.62172,2.755162,2.639081,2.743247,2.673803,2.691164,0,0,0,0,291.15,0,21272.37
"2021-06-10T04:14:42Z",1623298482,64171.8,411.5711,2.99816,0.8271087,0.1481234,"-",NaN,"-",-0.10472,0.2905721,3.252894,3.136764,3.345097,3.134186,3.325158,3.183691,3.255713,0,0,0,0,291.15,0,15830.53
"2021-06-10T04:14:43Z",1623298483,73415.85,411.4929,3.059356,0.8271083,0.1481235,"-",NaN,"-",-0.2033578,0.5175177,3.763657,3.645011,4.106922,3.514014,3.92805,3.665003,3.811783,0,0,0,0,291.15,0,16569.95
"2021-06-10T04:14:44Z",1623298484,82434.83,413.4431,3.17313,0.827108,0.1481234,"-",NaN,"-",-0.3504491,0.6370466,4.219385,4.166796,4.797297,3.886268,4.479296,3.966713,4.375129,0,0,0,0,291.15,0,16746.24
"2021-06-10T04:14:45Z",1623298485,94597.51,414.4367,3.116833,0.8271075,0.1481233,"-",NaN,"-",-0.4550957,0.627011,4.765819,4.713216,5.422418,4.398112,5.057835,4.291341,4.904189,0,0,0,0,291.15,0,17951.01
"2021-06-10T04:14:46Z",1623298486,79327.21,415.7102,3.082676,0.8271073,0.1481233,"-",NaN,"-",-0.4525526,0.4862252,5.225971,5.04029,5.66529,4.921217,5.4296,4.578906,5.285801,0,0,0,0,291.15,0,12727.92
"2021-06-10T04:14:47Z",1623298487,107839.7,416.817,2.951418,0.827107,0.1481234,"-",NaN,"-",-0.3361927,0.2604176,5.827621,5.624002,5.945611,5.629502,5.91914,5.28503,5.899029,0,0,0,0,291.15,0,17150.27
"2021-06-10T04:14:48Z",1623298488,90867.13,418.3873,2.402237,0.8271067,0.1481241,"-",NaN,"-",-0.1630418,0.06981333,6.388601,6.214795,6.316211,6.264128,6.374654,6.061295,6.46421,0,0,0,0,291.15,0,13297.09
"2021-06-10T04:14:49Z",1623298489,83880.52,419.244,2.134189,0.8271064,0.1481249,"-",NaN,"-",-0.04086845,-0.001382442,6.766802,6.648812,6.648812,6.698144,6.671673,6.587618,6.755729,0,0,0,0,291.15,0,11059.15
"2021-06-10T04:14:50Z",1623298490,77852.25,418.9298,1.958807,0.8271059,0.1481279,"-",NaN,"-",0.01745333,-0.008726667,7.073024,6.943413,6.943413,6.978136,6.949258,6.949258,6.949258,0,0,0,0,291.15,0,9668.927
"2021-06-10T04:14:51Z",1623298491,68711.39,417.6915,2.028792,0.8271055,0.1481295,"-",NaN,"-",0.02618,-0.01745333,7.33297,7.221051,7.186328,7.241189,7.218273,7.252995,7.218273,0,0,0,0,291.15,0,8380.214
"2021-06-10T04:14:52Z",1623298492,65419.48,417.693,2.036677,0.827105,0.1481309,"-",NaN,"-",0.02618,-0.008726667,7.534077,7.412808,7.407308,7.430169,7.427419,7.430169,7.415558,0,0,0,0,291.15,0,7701.354
"2021-06-10T04:14:53Z",1623298493,59768.55,417.4227,2.043253,0.8271044,0.1481324,"-",NaN,"-",0.02618,-0.008726667,7.692711,7.590972,7.55625,7.608334,7.573611,7.588195,7.570834,0,0,0,0,291.15,0,6875.908
"2021-06-10T04:14:54Z",1623298494,54795.51,417.0278,2.056773,0.8271038,0.148134,"-",NaN,"-",0.02618,-0.008726667,7.83268,7.703852,7.703852,7.721213,7.721213,7.709755,7.718262,0,0,0,0,291.15,0,6228.654
"2021-06-10T04:14:55Z",1623298495,53748.86,416.4414,2.047994,0.8271028,0.1481358,"-",NaN,"-",0.02618,-0.00154,7.953377,7.826159,7.826159,7.854754,7.826159,7.840457,7.826159,0,0,0,0,291.15,0,5838.299
"2021-06-10T04:14:56Z",1623298496,49474.54,415.8442,1.959963,0.8271023,0.1481373,"-",NaN,"-",0.02618,-0,8.028798,7.911435,7.911435,7.931718,7.925874,7.925874,7.911435,0,0,0,0,291.15,0,5346.466
"2021-06-10T04:14:57Z",1623298497,83655.29,415.4277,2.032614,0.8271016,0.148139,"-",NaN,"-",0.02618,-0,8.196813,8.053386,8.053386,8.073351,8.088108,8.085505,8.0829,0,0,0,0,291.15,0,9165.359
"2021-06-10T04:14:58Z",1623298498,4872.058,415.0284,2.077464,0.8271009,0.1481408,"-",NaN,"-",0.02618,-0.008726667,8.176967,8.082206,8.053039,8.064844,8.053039,8.053039,8.053039,0,0,0,0,291.15,0,-3.489316
"2021-06-10T04:14:59Z",1623298499,4990.494,415.3694,2.13362,0.8271001,0.1481427,"-",NaN,"-",0.02618,0.03636111,8.011479,7.887913,7.928422,7.90238,7.925529,7.890806,7.887913,0,0,0,0,291.15,0,-16.9351
"2021-06-10T04:15:00Z",1623298500,149153.8,415.4,2.112046,0.8270994,0.1481444,"-",NaN,"-",-0.02772,0.10318,8.19836,7.942517,8.15085,8.000728,8.188636,8.049747,8.104895,0,0,0,0,291.15,0,16067.85
"2021-06-10T04:15:01Z",1623298501,103539.3,416.2379,2.053231,0.8270988,0.1481461,"-",NaN,"-",-0.02462475,0.007171419,8.695376,8.534479,8.563014,8.551841,8.615097,8.528292,8.649819,0,0,0,0,291.15,0,11275.91
"2021-06-10T04:15:02Z",1623298502,6143.672,415.7464,2.068341,0.8270978,0.148148,"-",NaN,"-",0.03644666,-0.05236,8.927325,8.96427,8.857039,8.926484,8.853975,8.909122,8.885633,0,0,0,0,291.15,0,1056.264
